from_city,to_city,bus_name,bus_number,departure_time,arrival_time,duration,type,price,available_seats,total_seats,rating,features,starting_point,women_special
Kumbakonam,Karur,KPN Travels AC Sleeper,TN-34-BT-4590,18:45,05:25,10h 40m,AC Seater,1360,7,40,5.0,WiFi,Kumbakonam,No
Karur,Thanjavur,TNSTC AC Seater,TN-86-VF-0715,22:45,02:04,3h 19m,AC Sleeper,679,20,30,3.9,-,Tirunelveli,No
Tirunelveli,Karur,SETC AC Seater,TN-35-OG-5465,18:00,00:08,6h 8m,AC Seater,759,48,50,4.0,-,Tirunelveli,No
Vellore,Theni,SETC Non-AC Sleeper,TN-87-FG-2770,21:30,00:45,3h 15m,AC Sleeper,567,39,40,4.9,-,Vellore,No
Erode,Coimbatore,SETC Non-AC Sleeper,TN-67-QA-3235,23:45,03:48,4h 3m,Non-AC Sleeper,746,11,44,3.9,-,Erode,Yes
Madurai,Coimbatore,Vivegam Travels AC Seater,TN-70-BH-1493,19:30,22:30,3h 0m,AC Sleeper,649,37,40,4.4,Blanket,Nagercoil,Yes
Ramanathapuram,Kanyakumari,Vivegam Travels Non-AC Seater,TN-81-ZS-0463,17:45,04:28,10h 43m,AC Sleeper,1027,35,40,3.9,WiFi,Ramanathapuram,No
Karur,Chennai,SETC AC Seater,TN-89-HQ-2035,17:30,23:13,5h 43m,Non-AC Sleeper,393,10,30,4.3,-,Karur,Yes
Coimbatore,Pudukkottai,KPN Travels AC Sleeper,TN-17-VI-8279,22:00,08:49,10h 49m,AC Seater,1434,5,30,4.2,Blanket,Coimbatore,Yes
Dindigul,Tirunelveli,SETC Non-AC Seater,TN-12-WK-2303,23:45,11:12,11h 27m,Non-AC Seater,441,23,30,3.9,-,Tuticorin,Yes
Karur,Cuddalore,SETC Non-AC Sleeper,TN-58-NP-4398,18:15,02:52,8h 37m,Non-AC Seater,627,31,40,3.7,-,Karur,Yes
Trichy,Tuticorin,TNSTC AC Seater,TN-00-DU-0267,20:30,23:08,2h 38m,Non-AC Seater,779,29,36,3.9,-,Trichy,No
Madurai,Trichy,KPN Travels AC Seater,TN-31-AD-8277,17:45,00:00,6h 15m,AC Sleeper,1265,19,44,4.1,Charging Port,Madurai,No
Thanjavur,Kumbakonam,SRS Travels AC Seater,TN-42-MU-8006,22:45,07:01,8h 16m,Non-AC Seater,248,19,36,3.6,WiFi,Ramanathapuram,Yes
Coimbatore,Cuddalore,TNSTC Non-AC Sleeper,TN-50-LA-5419,17:45,21:01,3h 16m,Non-AC Sleeper,358,19,44,4.2,-,Coimbatore,Yes
Karur,Tuticorin,SRM Travels Non-AC Sleeper,TN-95-VY-3142,19:00,06:56,11h 56m,AC Sleeper,1076,36,50,4.4,Water Bottle,Karur,No
Cuddalore,Kanyakumari,TNSTC AC Sleeper,TN-24-KD-6755,23:00,07:24,8h 24m,AC Sleeper,580,15,36,4.4,-,Cuddalore,Yes
Tirunelveli,Coimbatore,TNSTC AC Seater,TN-43-KD-5979,21:00,06:31,9h 31m,Non-AC Sleeper,444,44,44,4.3,-,Tirunelveli,No
Ramanathapuram,Vellore,SRS Travels AC Sleeper,TN-65-OO-6272,23:00,06:00,7h 0m,AC Sleeper,868,21,44,3.9,Charging Port,Madurai,Yes
Kanyakumari,Tuticorin,Parveen Travels AC Seater,TN-91-IW-7917,18:30,00:16,5h 46m,AC Seater,1387,23,30,4.5,WiFi,Kanyakumari,No
Dindigul,Kumbakonam,SETC AC Sleeper,TN-02-MY-3145,19:00,02:17,7h 17m,Non-AC Seater,606,38,50,3.9,-,Nagercoil,No
Hosur,Karur,SETC Non-AC Sleeper,TN-46-GQ-4237,21:00,04:25,7h 25m,Non-AC Sleeper,585,44,50,5.0,-,Hosur,Yes
Karur,Madurai,SETC AC Sleeper,TN-40-SY-7311,18:45,00:46,6h 1m,Non-AC Sleeper,166,37,44,4.6,-,Karur,No
Nagercoil,Theni,KPN Travels AC Seater,TN-65-YO-1133,18:45,06:42,11h 57m,Non-AC Sleeper,1215,41,44,4.8,Water Bottle,Nagercoil,Yes
Erode,Dindigul,KPN Travels Non-AC Sleeper,TN-47-FM-4250,21:15,08:11,10h 56m,Non-AC Sleeper,589,10,50,4.9,Blanket,Erode,Yes
Ramanathapuram,Madurai,SRM Travels AC Sleeper,TN-68-VC-7149,20:30,03:43,7h 13m,Non-AC Seater,928,10,30,4.3,Blanket,Ramanathapuram,Yes
Karur,Cuddalore,SETC AC Sleeper,TN-08-PA-9049,19:45,06:52,11h 7m,AC Seater,192,29,30,3.6,-,Karur,No
Pudukkottai,Thanjavur,SETC Non-AC Sleeper,TN-46-PW-3625,20:15,05:23,9h 8m,Non-AC Sleeper,590,22,40,4.5,-,Theni,No
Ramanathapuram,Nagercoil,SETC AC Sleeper,TN-18-SR-5593,21:45,01:08,3h 23m,AC Sleeper,442,10,44,4.4,-,Salem,Yes
Vellore,Coimbatore,KPN Travels AC Sleeper,TN-65-DE-6437,18:15,04:17,10h 2m,AC Seater,241,30,30,3.7,-,Vellore,No
Salem,Erode,ABT Travels AC Seater,TN-10-XH-6519,21:00,03:24,6h 24m,AC Seater,302,42,44,4.9,-,Salem,No
Hosur,Pudukkottai,TNSTC AC Seater,TN-44-NA-4977,20:45,05:56,9h 11m,AC Sleeper,412,27,40,4.8,-,Hosur,No
Dindigul,Cuddalore,Vivegam Travels AC Sleeper,TN-92-LY-0191,23:45,10:20,10h 35m,AC Sleeper,419,9,50,4.9,USB,Dindigul,No
Theni,Hosur,SETC Non-AC Seater,TN-30-DQ-1713,17:45,21:53,4h 8m,AC Seater,454,28,30,3.5,-,Theni,Yes
Erode,Dindigul,TNSTC AC Sleeper,TN-19-OG-6562,23:00,05:55,6h 55m,Non-AC Seater,728,27,40,4.7,-,Ramanathapuram,No
Karur,Hosur,KPN Travels Non-AC Seater,TN-19-VK-7710,23:15,09:40,10h 25m,AC Seater,1205,15,40,4.9,WiFi,Karur,Yes
Erode,Madurai,SRM Travels Non-AC Seater,TN-72-YT-5590,20:00,00:57,4h 57m,AC Sleeper,1302,38,50,3.9,Water Bottle,Erode,No
Madurai,Salem,TNSTC Non-AC Seater,TN-16-IT-6139,20:30,05:18,8h 48m,AC Sleeper,357,31,40,4.6,-,Salem,No
Salem,Tirunelveli,ABT Travels AC Sleeper,TN-62-LE-5329,21:00,01:28,4h 28m,AC Sleeper,1310,29,44,3.8,Blanket,Salem,No
Coimbatore,Theni,Parveen Travels Non-AC Seater,TN-59-GS-4774,17:00,20:08,3h 8m,Non-AC Seater,1428,24,40,4.0,Charging Port,Cuddalore,Yes
Chennai,Tirunelveli,TNSTC AC Seater,TN-35-EE-4272,23:15,05:30,6h 15m,Non-AC Sleeper,126,17,44,4.4,-,Chennai,Yes
Kanyakumari,Ramanathapuram,TNSTC Non-AC Sleeper,TN-81-IO-2360,23:00,06:25,7h 25m,Non-AC Seater,143,25,40,4.5,-,Kanyakumari,Yes
Tirunelveli,Kanyakumari,SETC Non-AC Seater,TN-85-JE-0267,18:15,00:16,6h 1m,Non-AC Seater,232,8,44,4.5,-,Vellore,Yes
Theni,Vellore,TNSTC AC Seater,TN-94-AC-1237,21:30,05:30,8h 0m,Non-AC Seater,148,25,36,4.3,-,Theni,Yes
Trichy,Cuddalore,TNSTC AC Seater,TN-22-KU-7123,18:15,04:18,10h 3m,Non-AC Seater,652,11,40,4.6,-,Trichy,Yes
Hosur,Chennai,TNSTC AC Sleeper,TN-70-SK-3011,18:15,22:39,4h 24m,AC Seater,759,13,30,3.9,-,Hosur,Yes
Nagercoil,Karur,SRS Travels Non-AC Sleeper,TN-34-IO-4534,20:15,23:15,3h 0m,AC Sleeper,1355,6,40,3.5,Water Bottle,Nagercoil,No
Tirunelveli,Hosur,SETC AC Sleeper,TN-55-JB-1182,18:30,21:49,3h 19m,Non-AC Seater,211,9,40,4.7,-,Tirunelveli,Yes
Thanjavur,Kanyakumari,Vivegam Travels AC Seater,TN-01-XT-2602,18:15,03:09,8h 54m,Non-AC Sleeper,1241,9,44,3.9,Water Bottle,Thanjavur,No
Dindigul,Pudukkottai,KPN Travels Non-AC Sleeper,TN-51-TY-4986,22:00,07:19,9h 19m,AC Seater,1032,33,44,3.6,-,Dindigul,No
Tirunelveli,Vellore,TNSTC Non-AC Sleeper,TN-56-UC-3644,21:45,06:13,8h 28m,Non-AC Seater,554,37,50,4.6,-,Tirunelveli,Yes
Hosur,Cuddalore,TNSTC AC Seater,TN-27-EK-0700,21:15,05:19,8h 4m,AC Sleeper,504,32,36,4.1,-,Hosur,Yes
Chennai,Nagercoil,Vivegam Travels Non-AC Sleeper,TN-59-LW-8421,21:00,06:34,9h 34m,Non-AC Sleeper,1444,21,50,4.8,-,Chennai,No
Chennai,Theni,ABT Travels Non-AC Seater,TN-98-JI-2972,18:00,05:10,11h 10m,Non-AC Sleeper,1444,19,40,4.4,Blanket,Theni,No
Kanyakumari,Tirunelveli,SETC Non-AC Seater,TN-94-FF-5415,19:30,01:09,5h 39m,AC Seater,413,25,36,3.8,-,Kanyakumari,No
Chennai,Coimbatore,Parveen Travels AC Seater,TN-04-TV-5602,23:45,10:11,10h 26m,Non-AC Seater,295,19,50,4.5,Water Bottle,Chennai,Yes
Ramanathapuram,Dindigul,SETC AC Seater,TN-04-WI-9531,23:15,07:06,7h 51m,Non-AC Sleeper,621,5,30,4.5,-,Coimbatore,No
Karur,Madurai,SETC AC Sleeper,TN-64-KQ-0151,21:00,02:19,5h 19m,Non-AC Sleeper,389,14,30,4.8,-,Karur,Yes
Nagercoil,Chennai,TNSTC Non-AC Seater,TN-68-JF-8293,20:45,04:59,8h 14m,Non-AC Seater,513,29,50,4.4,-,Nagercoil,No
Tuticorin,Thanjavur,KPN Travels Non-AC Seater,TN-15-WH-7639,19:00,02:16,7h 16m,AC Sleeper,568,30,30,4.7,Charging Port,Tuticorin,Yes
Thanjavur,Trichy,SETC Non-AC Sleeper,TN-61-WC-5933,22:15,06:41,8h 26m,Non-AC Sleeper,754,38,44,4.0,-,Thanjavur,Yes
Thanjavur,Chennai,SETC AC Seater,TN-48-QP-3298,23:15,03:47,4h 32m,Non-AC Seater,689,18,44,4.1,-,Thanjavur,Yes
Hosur,Chennai,TNSTC AC Sleeper,TN-21-SN-2970,22:00,02:15,4h 15m,Non-AC Seater,526,42,50,3.6,-,Cuddalore,Yes
Cuddalore,Chennai,SRM Travels AC Sleeper,TN-67-YO-2955,21:45,07:18,9h 33m,AC Sleeper,1256,17,50,4.5,Charging Port,Cuddalore,No
Kumbakonam,Erode,Vivegam Travels AC Sleeper,TN-96-WM-1748,21:30,08:14,10h 44m,AC Seater,839,34,40,4.3,Charging Port,Kumbakonam,No
Erode,Karur,ABT Travels AC Seater,TN-26-KS-8358,20:15,23:05,2h 50m,AC Sleeper,471,33,36,4.8,-,Erode,No
Vellore,Dindigul,Parveen Travels AC Sleeper,TN-42-EK-6662,19:15,03:53,8h 38m,AC Seater,323,11,40,3.9,Blanket,Vellore,Yes
Coimbatore,Salem,TNSTC Non-AC Sleeper,TN-84-PB-9552,21:15,23:38,2h 23m,AC Sleeper,711,44,50,4.0,-,Coimbatore,No
Salem,Tirunelveli,Vivegam Travels Non-AC Seater,TN-79-QQ-4092,19:30,23:50,4h 20m,AC Sleeper,672,18,40,4.5,-,Salem,Yes
Karur,Tuticorin,SETC AC Seater,TN-22-DS-9183,23:45,04:34,4h 49m,AC Seater,131,10,40,3.7,-,Karur,Yes
Karur,Kumbakonam,TNSTC Non-AC Seater,TN-80-EU-0473,17:30,00:42,7h 12m,AC Sleeper,106,25,30,4.4,-,Karur,Yes
Karur,Dindigul,KPN Travels AC Seater,TN-92-QK-9586,23:45,03:46,4h 1m,AC Seater,609,22,30,4.6,USB,Karur,Yes
Pudukkottai,Tuticorin,SETC AC Seater,TN-45-JH-2695,23:00,04:24,5h 24m,AC Sleeper,435,39,50,4.2,-,Chennai,No
Hosur,Tirunelveli,SRS Travels Non-AC Sleeper,TN-66-KN-9979,18:45,21:36,2h 51m,AC Sleeper,1348,33,50,4.7,Blanket,Hosur,No
Thanjavur,Kanyakumari,ABT Travels Non-AC Seater,TN-39-XE-6912,23:15,10:19,11h 4m,Non-AC Seater,929,30,50,3.8,Blanket,Trichy,Yes
Ramanathapuram,Kumbakonam,TNSTC Non-AC Seater,TN-97-PO-5404,19:15,05:10,9h 55m,Non-AC Sleeper,727,6,50,4.7,-,Ramanathapuram,Yes
Cuddalore,Pudukkottai,TNSTC Non-AC Seater,TN-57-ZN-2415,17:00,02:02,9h 2m,AC Sleeper,455,49,50,4.3,-,Cuddalore,No
Chennai,Theni,TNSTC Non-AC Seater,TN-08-BM-3635,18:15,02:17,8h 2m,AC Seater,590,23,30,3.6,-,Chennai,No
Thanjavur,Cuddalore,SRM Travels AC Seater,TN-29-TV-0962,17:30,22:45,5h 15m,Non-AC Seater,297,27,36,4.5,WiFi,Thanjavur,Yes
Erode,Cuddalore,TNSTC Non-AC Sleeper,TN-71-WT-1000,21:15,08:19,11h 4m,AC Sleeper,125,26,44,4.3,-,Erode,Yes
Hosur,Salem,SETC AC Sleeper,TN-30-YO-6660,22:00,07:18,9h 18m,Non-AC Sleeper,398,16,36,3.6,-,Hosur,Yes
Karur,Trichy,SETC Non-AC Seater,TN-29-KI-7461,21:30,02:21,4h 51m,AC Sleeper,782,34,44,3.8,-,Karur,No
Tuticorin,Tirunelveli,Vivegam Travels Non-AC Sleeper,TN-06-PA-0311,21:00,04:03,7h 3m,Non-AC Sleeper,872,27,36,4.8,Blanket,Tuticorin,Yes
Coimbatore,Chennai,TNSTC Non-AC Sleeper,TN-29-TO-6440,18:15,23:13,4h 58m,AC Sleeper,365,15,50,4.6,-,Pudukkottai,Yes
Madurai,Ramanathapuram,TNSTC AC Seater,TN-03-NJ-0451,22:15,02:20,4h 5m,AC Sleeper,441,41,44,4.5,-,Madurai,Yes
Kanyakumari,Erode,SRM Travels AC Sleeper,TN-93-BB-4222,21:00,01:57,4h 57m,AC Seater,969,15,30,4.2,WiFi,Kanyakumari,No
Kumbakonam,Chennai,SETC AC Seater,TN-48-MQ-3799,17:45,04:00,10h 15m,Non-AC Seater,572,41,50,3.7,-,Kumbakonam,Yes
Pudukkottai,Vellore,SETC Non-AC Seater,TN-49-HC-8734,17:45,03:42,9h 57m,AC Seater,520,19,40,3.9,-,Trichy,No
Hosur,Madurai,Parveen Travels AC Sleeper,TN-94-YW-5638,20:45,06:00,9h 15m,Non-AC Sleeper,496,28,40,3.9,Water Bottle,Hosur,Yes
Madurai,Hosur,Parveen Travels AC Seater,TN-42-NK-0698,18:30,21:28,2h 58m,AC Seater,679,16,40,3.9,Blanket,Kanyakumari,No
Karur,Tirunelveli,TNSTC Non-AC Seater,TN-02-EY-0931,23:00,02:30,3h 30m,Non-AC Seater,775,28,30,3.9,-,Karur,No
Theni,Cuddalore,SRM Travels Non-AC Sleeper,TN-08-KA-7032,23:00,06:07,7h 7m,AC Seater,1406,10,36,4.1,Blanket,Theni,Yes
Salem,Pudukkottai,TNSTC Non-AC Seater,TN-43-VY-2375,17:30,04:40,11h 10m,Non-AC Sleeper,667,14,50,4.3,-,Salem,Yes
Coimbatore,Theni,ABT Travels Non-AC Sleeper,TN-29-XG-7582,18:30,05:40,11h 10m,Non-AC Seater,807,10,50,4.8,Water Bottle,Coimbatore,No
Cuddalore,Madurai,ABT Travels Non-AC Sleeper,TN-90-MN-5382,23:00,09:50,10h 50m,Non-AC Seater,689,43,44,3.8,Water Bottle,Cuddalore,Yes
Theni,Nagercoil,KPN Travels Non-AC Seater,TN-61-EJ-9573,19:00,01:10,6h 10m,Non-AC Sleeper,451,38,44,3.7,-,Theni,Yes
Dindigul,Chennai,Parveen Travels Non-AC Sleeper,TN-34-IR-6806,19:00,06:24,11h 24m,Non-AC Sleeper,1351,18,44,3.9,Water Bottle,Ramanathapuram,Yes
Tuticorin,Dindigul,SRS Travels Non-AC Seater,TN-37-RV-5080,19:45,06:12,10h 27m,Non-AC Sleeper,631,5,44,3.7,Charging Port,Tuticorin,No
Karur,Vellore,TNSTC AC Sleeper,TN-80-ZQ-6799,17:15,23:48,6h 33m,AC Seater,795,23,40,4.0,-,Karur,No
Trichy,Dindigul,SETC AC Sleeper,TN-70-BZ-2147,22:00,06:52,8h 52m,Non-AC Sleeper,190,10,30,4.3,-,Trichy,Yes
Kumbakonam,Ramanathapuram,SETC Non-AC Seater,TN-46-SZ-0324,17:00,02:35,9h 35m,Non-AC Sleeper,142,16,50,4.2,-,Kumbakonam,Yes
Ramanathapuram,Pudukkottai,TNSTC Non-AC Seater,TN-93-RE-2471,21:15,00:21,3h 6m,AC Sleeper,165,13,36,4.9,-,Ramanathapuram,No
Hosur,Erode,Vivegam Travels AC Sleeper,TN-47-SA-2286,23:30,07:08,7h 38m,AC Seater,1147,39,44,4.6,-,Tuticorin,Yes
Pudukkottai,Vellore,SRM Travels AC Seater,TN-21-FZ-9927,19:45,00:55,5h 10m,AC Seater,788,9,44,4.5,USB,Pudukkottai,Yes
Nagercoil,Vellore,Parveen Travels AC Seater,TN-13-HD-3298,21:45,03:24,5h 39m,Non-AC Seater,468,8,50,4.6,Water Bottle,Nagercoil,Yes
Hosur,Vellore,TNSTC Non-AC Sleeper,TN-80-EM-0638,21:00,04:49,7h 49m,Non-AC Seater,400,26,50,4.1,-,Hosur,No
Kanyakumari,Nagercoil,TNSTC AC Seater,TN-10-YG-2929,17:45,05:04,11h 19m,Non-AC Seater,361,21,36,4.8,-,Madurai,No
Salem,Erode,KPN Travels AC Sleeper,TN-45-DC-7010,19:00,00:37,5h 37m,Non-AC Sleeper,475,19,44,3.8,USB,Salem,Yes
Ramanathapuram,Tuticorin,SRS Travels AC Seater,TN-00-XC-2609,17:30,20:14,2h 44m,Non-AC Sleeper,432,41,50,3.9,Blanket,Ramanathapuram,Yes
Karur,Pudukkottai,KPN Travels AC Sleeper,TN-77-PZ-3655,20:00,02:43,6h 43m,AC Seater,394,13,44,3.5,Blanket,Karur,Yes
Ramanathapuram,Tirunelveli,TNSTC AC Sleeper,TN-90-VV-6409,17:00,01:35,8h 35m,Non-AC Seater,317,10,36,3.8,-,Ramanathapuram,No
Erode,Ramanathapuram,SRS Travels Non-AC Sleeper,TN-66-IL-0101,21:30,00:34,3h 4m,Non-AC Sleeper,1095,25,36,5.0,USB,Erode,Yes
Tirunelveli,Vellore,TNSTC AC Seater,TN-78-PL-3307,19:45,02:15,6h 30m,Non-AC Sleeper,634,35,44,3.6,-,Tirunelveli,Yes
Pudukkottai,Karur,SETC Non-AC Sleeper,TN-39-RZ-5767,19:30,07:11,11h 41m,Non-AC Seater,273,30,30,4.7,-,Pudukkottai,No
Madurai,Nagercoil,SRS Travels Non-AC Seater,TN-69-CX-8298,22:45,04:50,6h 5m,Non-AC Sleeper,1175,18,44,4.0,Water Bottle,Madurai,Yes
Thanjavur,Salem,Vivegam Travels AC Seater,TN-35-TG-1703,22:30,07:56,9h 26m,Non-AC Sleeper,558,14,44,4.7,-,Thanjavur,No
Madurai,Theni,TNSTC AC Seater,TN-43-AA-5037,17:15,04:03,10h 48m,AC Sleeper,244,21,40,4.1,-,Madurai,Yes
Salem,Coimbatore,SETC AC Sleeper,TN-10-PJ-9067,22:30,04:28,5h 58m,Non-AC Seater,412,19,50,4.2,-,Erode,No
Kanyakumari,Trichy,SETC Non-AC Seater,TN-43-LF-9019,21:30,02:51,5h 21m,Non-AC Seater,715,39,40,4.7,-,Nagercoil,No
Hosur,Salem,SETC AC Sleeper,TN-48-BY-0609,18:15,21:51,3h 36m,Non-AC Seater,170,18,36,3.7,-,Hosur,No
Chennai,Karur,Parveen Travels AC Sleeper,TN-80-US-2605,19:00,03:24,8h 24m,Non-AC Sleeper,1011,35,36,3.8,Charging Port,Erode,Yes
Tuticorin,Coimbatore,TNSTC AC Seater,TN-73-RC-5898,21:30,00:16,2h 46m,Non-AC Sleeper,126,32,50,3.7,-,Salem,Yes
Chennai,Tirunelveli,SRM Travels Non-AC Seater,TN-44-PH-7822,22:15,09:33,11h 18m,AC Seater,774,40,44,4.9,-,Chennai,Yes
Kanyakumari,Ramanathapuram,SETC AC Seater,TN-34-CL-1599,23:00,06:17,7h 17m,Non-AC Seater,209,5,44,4.2,-,Kanyakumari,No
Thanjavur,Tuticorin,ABT Travels AC Sleeper,TN-56-QP-7321,23:30,08:14,8h 44m,AC Seater,502,18,44,4.3,Charging Port,Tirunelveli,No
Cuddalore,Thanjavur,SETC AC Seater,TN-90-WB-7202,23:45,02:37,2h 52m,Non-AC Seater,201,34,40,4.0,-,Tirunelveli,Yes
Ramanathapuram,Tuticorin,TNSTC AC Seater,TN-76-QM-9216,18:15,01:40,7h 25m,Non-AC Seater,194,6,30,4.9,-,Theni,Yes
Erode,Trichy,SRS Travels Non-AC Seater,TN-22-MP-1939,18:00,22:34,4h 34m,Non-AC Sleeper,714,40,50,3.7,Charging Port,Erode,Yes
Ramanathapuram,Theni,SETC AC Seater,TN-07-CZ-6424,18:00,22:46,4h 46m,AC Seater,299,13,44,4.3,-,Ramanathapuram,Yes
Hosur,Karur,TNSTC AC Seater,TN-12-SV-0895,22:00,03:33,5h 33m,AC Seater,635,39,40,3.6,-,Hosur,Yes
Tirunelveli,Salem,ABT Travels Non-AC Sleeper,TN-98-OS-1337,22:30,06:15,7h 45m,AC Seater,959,15,40,4.4,WiFi,Tirunelveli,Yes
Cuddalore,Hosur,SETC AC Seater,TN-81-BM-0221,20:30,01:45,5h 15m,AC Sleeper,236,15,36,4.2,-,Cuddalore,Yes
Tuticorin,Cuddalore,ABT Travels Non-AC Sleeper,TN-81-LH-9346,18:00,03:49,9h 49m,Non-AC Sleeper,293,22,40,4.2,WiFi,Tuticorin,No
Dindigul,Ramanathapuram,KPN Travels Non-AC Sleeper,TN-17-PY-1921,20:30,06:04,9h 34m,AC Seater,1212,37,44,4.6,Water Bottle,Dindigul,Yes
Pudukkottai,Thanjavur,TNSTC AC Sleeper,TN-38-TI-9669,21:00,02:08,5h 8m,AC Seater,522,40,40,4.5,-,Pudukkottai,Yes
Kumbakonam,Tuticorin,SRS Travels AC Seater,TN-15-PI-1658,22:00,04:05,6h 5m,AC Seater,1291,34,36,3.6,Water Bottle,Madurai,Yes
Ramanathapuram,Thanjavur,Vivegam Travels Non-AC Seater,TN-76-QV-4309,17:15,19:23,2h 8m,AC Seater,1025,26,36,4.8,-,Ramanathapuram,Yes
Cuddalore,Thanjavur,SRM Travels Non-AC Seater,TN-19-LV-9657,23:45,06:12,6h 27m,AC Sleeper,1168,25,30,4.2,Charging Port,Salem,No
Hosur,Vellore,SRS Travels Non-AC Seater,TN-80-HN-9973,22:00,07:50,9h 50m,AC Seater,717,8,36,4.3,Blanket,Hosur,No
Dindigul,Ramanathapuram,Vivegam Travels Non-AC Sleeper,TN-30-YU-1531,22:45,04:40,5h 55m,AC Seater,852,29,30,4.6,Charging Port,Dindigul,Yes
Kanyakumari,Karur,SETC Non-AC Sleeper,TN-99-VK-7584,18:15,04:03,9h 48m,AC Sleeper,734,33,40,3.9,-,Kanyakumari,Yes
Pudukkottai,Theni,SETC Non-AC Sleeper,TN-72-HO-6623,19:15,00:24,5h 9m,AC Seater,473,21,50,3.9,-,Pudukkottai,Yes
Vellore,Tuticorin,TNSTC AC Seater,TN-39-VX-4149,19:00,01:13,6h 13m,AC Seater,222,7,30,3.7,-,Vellore,Yes
Pudukkottai,Vellore,SETC Non-AC Seater,TN-70-KV-6894,18:00,03:02,9h 2m,Non-AC Seater,425,5,50,4.6,-,Pudukkottai,No
Hosur,Tirunelveli,KPN Travels AC Seater,TN-23-BO-6966,20:15,07:18,11h 3m,AC Seater,994,24,50,4.0,USB,Trichy,No
Pudukkottai,Karur,SRM Travels Non-AC Sleeper,TN-93-MJ-1399,17:30,21:02,3h 32m,Non-AC Seater,1312,22,44,3.9,Blanket,Pudukkottai,No
Salem,Kanyakumari,Parveen Travels AC Sleeper,TN-59-KL-2722,17:30,00:58,7h 28m,AC Sleeper,239,30,30,3.6,Charging Port,Salem,No
Dindigul,Tuticorin,SETC Non-AC Seater,TN-84-II-5468,17:15,00:40,7h 25m,Non-AC Sleeper,283,43,44,3.6,-,Dindigul,Yes
Nagercoil,Kumbakonam,SRM Travels AC Sleeper,TN-17-IG-0272,22:15,06:05,7h 50m,AC Seater,1432,17,44,5.0,Water Bottle,Nagercoil,No
Kanyakumari,Vellore,KPN Travels AC Sleeper,TN-26-FY-5789,19:45,23:10,3h 25m,Non-AC Sleeper,1060,31,40,5.0,Charging Port,Kanyakumari,Yes
Hosur,Theni,ABT Travels Non-AC Seater,TN-57-BI-6638,23:15,06:04,6h 49m,Non-AC Sleeper,969,22,36,3.8,Blanket,Hosur,No
Pudukkottai,Trichy,SETC AC Seater,TN-84-SU-5249,17:00,22:24,5h 24m,Non-AC Seater,613,17,30,4.7,-,Pudukkottai,Yes
Erode,Hosur,KPN Travels AC Sleeper,TN-71-SN-8756,20:15,07:10,10h 55m,Non-AC Sleeper,807,19,40,4.9,-,Erode,No
Cuddalore,Dindigul,TNSTC AC Seater,TN-30-SK-2833,23:00,05:43,6h 43m,AC Sleeper,375,15,40,4.5,-,Cuddalore,No
Vellore,Theni,TNSTC AC Seater,TN-28-BV-9462,19:45,22:28,2h 43m,AC Sleeper,453,25,30,4.4,-,Vellore,Yes
Pudukkottai,Tirunelveli,ABT Travels Non-AC Seater,TN-65-JI-2949,21:30,01:10,3h 40m,Non-AC Seater,991,8,36,4.6,Charging Port,Pudukkottai,Yes
Vellore,Karur,Vivegam Travels Non-AC Seater,TN-32-VR-2715,19:15,01:43,6h 28m,Non-AC Seater,217,16,40,4.6,WiFi,Vellore,No
Ramanathapuram,Dindigul,ABT Travels AC Seater,TN-33-WC-8887,18:30,04:57,10h 27m,AC Seater,1499,38,44,4.2,-,Ramanathapuram,Yes
Trichy,Karur,Parveen Travels Non-AC Seater,TN-65-UI-3882,19:00,00:28,5h 28m,Non-AC Seater,490,36,44,4.8,Water Bottle,Cuddalore,Yes
Theni,Madurai,SETC AC Sleeper,TN-61-LD-4491,19:15,02:24,7h 9m,Non-AC Seater,273,39,50,4.4,-,Nagercoil,No
Madurai,Coimbatore,SETC Non-AC Seater,TN-77-TG-2283,17:15,03:52,10h 37m,AC Sleeper,774,25,30,4.6,-,Madurai,Yes
Dindigul,Vellore,SRS Travels AC Seater,TN-70-JJ-8011,20:45,05:43,8h 58m,Non-AC Sleeper,883,20,40,4.9,Blanket,Dindigul,No
Vellore,Tirunelveli,Vivegam Travels Non-AC Sleeper,TN-68-LJ-1647,22:15,04:06,5h 51m,Non-AC Seater,1343,8,30,4.5,WiFi,Hosur,No
Theni,Pudukkottai,SRS Travels Non-AC Seater,TN-83-YR-5303,17:30,01:02,7h 32m,Non-AC Seater,224,34,44,4.7,Water Bottle,Theni,Yes
Nagercoil,Thanjavur,SRS Travels AC Seater,TN-51-BW-9239,19:00,06:26,11h 26m,AC Sleeper,1190,12,36,4.8,Blanket,Nagercoil,Yes
Cuddalore,Erode,ABT Travels Non-AC Sleeper,TN-79-OD-6397,18:30,06:25,11h 55m,AC Sleeper,1473,30,44,4.7,Blanket,Tirunelveli,No
Cuddalore,Thanjavur,ABT Travels AC Sleeper,TN-60-ME-5798,21:00,23:57,2h 57m,AC Seater,1039,24,36,3.6,-,Cuddalore,Yes
Hosur,Salem,SETC Non-AC Seater,TN-52-CR-8369,21:45,01:57,4h 12m,AC Seater,727,17,30,4.8,-,Ramanathapuram,No
Theni,Madurai,SETC Non-AC Sleeper,TN-08-UW-6093,21:45,06:49,9h 4m,Non-AC Seater,494,38,40,4.4,-,Theni,Yes
